IndicatorCode,Country_Code,Gender,Age_Group,Planning_Value_Rate,FactComments,Language_Code,Starting_Year,Year_Ending,Year_Group,PeriodRangeID
SDGFPALL,UGA,Female,15-49 years,65.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Uganda 2021 PMA Survey Phase 2,EN,2021,2021,2021-2021,1
SDGFPALL,NER,Female,15-49 years,36.9,Niger 2021 PMA Survey Phase 1,EN,2020,2021,2020-2021,1
SDGFPALL,BFA,Female,15-49 years,58.2,Burkina Faso 2021 PMA Survey Phase 2,EN,2020,2021,2020-2021,1
SDGFPALL,VNM,Female,15-49 years,72.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Viet Nam 2020-2021 Multiple Indicator Cluster Survey,EN,2020,2021,2020-2021,1
SDGFPALL,CIV,Female,15-49 years,46.1,Côte d'Ivoire 2020 PMA Survey Phase 1,EN,2020,2020,2020-2020,2
SDGFPALL,MDA,Female,15-49 years,59.5,Moldova 2020 Gender and Generations Survey,EN,2020,2020,2020-2020,2
SDGFPALL,ETH,Female,15-49 years,62.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Ethiopia 2020 PMA Cross Sectional,EN,2020,2020,2020-2020,2
SDGFPALL,MDG,Female,15-49 years,65.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Madagascar 2020 Demographic and Health Survey,EN,2020,2020,2020-2020,2
SDGFPALL,PER,Female,15-49 years,65.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Peru 2020 Demographic and Health Survey (Continuous),EN,2020,2020,2020-2020,2
SDGFPALL,KEN,Female,15-49 years,77.1,Kenya 2020 PMA Survey Phase 2,EN,2020,2020,2020-2020,2
SDGFPALL,MRT,Female,15-49 years,22.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Contraceptive use excludes male and female sterilization. Mauritania 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,WSM,Female,15-49 years,27.0,Samoa 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,GMB,Female,15-49 years,41.1,Gambia 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,TUV,Female,15-49 years,46.2,Tuvalu 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,GUY,Female,15-49 years,46.6,Guyana 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,LBR,Female,15-49 years,47.5,Liberia 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,PSE,Female,15-49 years,61.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. State of Palestine 2019-2020 MICS,EN,2019,2020,2019-2020,2
SDGFPALL,RWA,Female,15-49 years,72.1,Rwanda 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,MWI,Female,15-49 years,77.3,Malawi 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,ARG,Female,15-49 years,80.3,Argentina 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,TCD,Female,15-49 years,17.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Chad 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,CAF,Female,15-49 years,27.6,Central African Republic 2018-2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SRB,Female,15-49 years,38.4,Serbia 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,TON,Female,15-49 years,49.9,Tonga 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SLE,Female,15-49 years,53.0,Sierra Leone 2019 Demographic and Health Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SEN,Female,15-49 years,53.2,Senegal 2019 Demographic and Health Survey,EN,2019,2019,2019-2019,2
SDGFPALL,STP,Female,15-49 years,57.7,Sao Tome and Principe 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,NPL,Female,15-49 years,61.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Nepal 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,BLR,Female,15-49 years,66.0,Belarus 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,BGD,Female,15-49 years,77.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Bangladesh 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,DOM,Female,15-49 years,77.4,Dominican Republic 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,HND,Female,15-49 years,79.0,Honduras 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,TKM,Female,15-49 years,79.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Turkmenistan 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,CUB,Female,15-49 years,86.9,Cuba 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,THA,Female,15-49 years,88.2,Thailand 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SOM,Female,15-49 years,2.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Contraceptive use excludes male and female sterilization. Somalia 2018-2019 Health and Demographic Survey,EN,2018,2019,2018-2019,2
SDGFPALL,MKD,Female,15-49 years,29.6,North Macedonia 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,KIR,Female,15-49 years,53.1,Kiribati 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,GNB,Female,15-49 years,60.0,Guinea-Bissau 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,DZA,Female,15-49 years,66.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Algeria 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,ECU,Female,15-49 years,82.5,Ecuador 2018 Encuesta Nacional de Salud y Nutrición,EN,2018,2019,2018-2019,2
SDGFPALL,USA,Female,15-49 years,78.4,Unmet need data do not necessarily correspond to the 2012 DHS definition. United States of America 2017-2019 National Survey of Family Growth,EN,2017,2019,2017-2019,2
SDGFPALL,MNE,Female,15-49 years,32.9,Montenegro 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,NGA,Female,15-49 years,35.6,Nigeria 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,GIN,Female,15-49 years,37.7,Guinea 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MLI,Female,15-49 years,41.2,Mali 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,CMR,Female,15-49 years,44.9,Cameroon 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,GEO,Female,15-49 years,51.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Georgia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,IRQ,Female,15-49 years,53.8,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Iraq 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,SUR,Female,15-49 years,57.5,Suriname 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,TUR,Female,15-49 years,60.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Turkey 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,TUN,Female,15-49 years,62.7,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Tunisia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MNG,Female,15-49 years,63.6,Mongolia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,KGZ,Female,15-49 years,64.6,Kyrgyzstan 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,ZMB,Female,15-49 years,65.9,Zambia 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MAR,Female,15-49 years,72.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Morocco 2018 Enquête Nationale sur la Population et la Santé Familiale,EN,2018,2018,2018-2018,2
SDGFPALL,KAZ,Female,15-49 years,73.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. The fertility intention question used in the calculation of unmet need refers to a three year period instead of a two year period. Kazakhstan 2018 Gender and Generations Survey,EN,2018,2018,2018-2018,2
SDGFPALL,CRI,Female,15-49 years,80.8,Costa Rica 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,LSO,Female,15-49 years,82.8,Lesotho 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MEX,Female,15-49 years,83.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Mexico 2018 Encuesta Nacional de la Dinámica Demográfica,EN,2018,2018,2018-2018,2
SDGFPALL,BEN,Female,15-49 years,28.0,Benin 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,COD,Female,15-49 years,33.0,Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey,EN,2017,2018,2017-2018,2
SDGFPALL,GHA,Female,15-49 years,40.4,Ghana 2017-2018 Multiple Indicator Cluster Survey,EN,2017,2018,2017-2018,2
SDGFPALL,PAK,Female,15-49 years,48.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Excluding Azad Jammu and Kashmir and Gilgit Baltistan. Pakistan 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,JOR,Female,15-49 years,56.7,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Jordan 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,ALB,Female,15-49 years,6.3,Albania 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,PNG,Female,15-49 years,49.2,Papua New Guinea 2016-2018 Demographic and Health Survey,EN,2016,2018,2016-2018,2
SDGFPALL,MDV,Female,15-49 years,29.2,Maldives 2016-2017 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,BDI,Female,15-49 years,39.6,Burundi 2016 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,HTI,Female,15-49 years,45.4,Haiti 2016-2017 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,IDN,Female,15-49 years,77.6,Indonesia 2016-2017 PMA2020 Round 2,EN,2016,2017,2016-2017,3
SDGFPALL,TGO,Female,15-49 years,39.6,Togo 2017 Multiple Indicator Cluster Survey,EN,2017,2017,2017-2017,3
SDGFPALL,TJK,Female,15-49 years,52.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Tajikistan 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,PHL,Female,15-49 years,56.0,Philippines 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,LAO,Female,15-49 years,72.3,Lao People's Democratic Republic 2017 Social Indicator Survey II,EN,2017,2017,2017-2017,3
SDGFPALL,IDN,Female,15-49 years,77.0,Indonesia 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,SWE,Female,15-49 years,86.7,"Women were identified as having unmet need if they were sexually active, not using contraception, capable of having children, did not have a same-sex partner, and did not want to become pregnant. Sweden 2017 Contraception Survey",EN,2017,2017,2017-2017,3
