IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,HRV,Croatia,Year,2023,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.03,,,,,,0,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,HRV,Croatia,Year,2023,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,6.68,,,,,,6.7,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2023,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,77.00,,,,,,77,,Yemen 2022-2023 Multiple Indicator Cluster Survey,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,GLOBAL,Global,Country,MAC,"China, Macao Special Administrative Region",Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,FIN,Finland,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.02,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,MNE,Montenegro,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,NIU,Niue,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,NIU,Niue,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,0.00,,,,,,0,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,NOR,Norway,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.03,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.00,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,UZB,Uzbekistan,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.02,,,,,,0,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.11,,,,,,0.1,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.10,,,,,,0.1,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,PRI,Puerto Rico,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.10,,,,,,0.1,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.10,,,,,,0.1,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,USA,United States of America,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.20,,,,,,0.2,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,GLOBAL,Global,Country,MAC,"China, Macao Special Administrative Region",Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,0.31,,,,,,0.3,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,MKD,North Macedonia,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.33,,,,,,0.3,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,0.40,,,,,,0.4,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,MUS,Mauritius,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.73,,,,,,0.7,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,SYC,Seychelles,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,1.00,,,,,,1,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,PER,Peru,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,1.08,,,,,,1.1,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,GLOBAL,Global,Country,HKG,"China, Hong Kong Special Administrative Region",Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.20,,,,,,1.2,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,CRI,Costa Rica,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,1.16,,,,,,1.2,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.17,,,,,,1.2,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,NOR,Norway,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.39,,,,,,1.4,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
