IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2023,true,,,,,,,,,,,,,95.70,,,,,,95.7,,SUSENAS 2023 as part of Welfare Statistics 2023,EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,FRA,France,Year,2023,true,,,,,,,,,,,,,97.60,,,,,,97.6,,"Institutional Birth (IB): includes all deliveries that occurred at a health facility. T64: Nés vivants selon la condition de l’accouchement et le groupe d'âges de la mère. France métropolitaine. Année 2022 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2023 (https://www.insee.fr/fr/recherche?idprec=5414765&q=N%C3%A9s%20vivants%20selon%20la%20condition%20de%20l%27accouchement%20et%20le%20groupe%20d%27%C3%A2ges%20de%20la%20m%C3%A8r&debut=0), accessed 21 September 2023, (in French).",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2023,true,,,,,,,,,,,,,99.80,,,,,,99.8,,Women Health and Reproductive Survey,EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2023,true,,,,,,,,,,,,,99.90,,,,,,99.9,,"Department of Statistics (DoS) [Jordan] and ICF. 2023. Jordan Population and Family Health Survey 2023: Key Indicators. Amman, Jordan, and Rockville, Maryland, USA: DoS and ICF.",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2022-2023,true,,,,,,,,,,,,,60.90,,,,,,60.9,,"Central Statistical Organization (CSO) and United Nations Children’s Fund (UNICEF). 2023. Yemen Multiple Indicator Cluster Survey 2022-2023, Survey Findings Report. Yemen: Central Statistical Organization and United Nations Children’s Fund.",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022-2023,true,,,,,,,,,,,,,67.50,,,,,,67.5,,"UNICEF. 2023. Afghanistan Multiple Indicator Cluster Survey 2022-23, Summary Findings Report.
Kabul, Afghanistan: UNICEF.",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MOZ,Mozambique,Year,2022-2023,true,,,,,,,,,,,,,67.50,,,,,,67.5,,"Instituto Nacional de Estatística (INE) e ICF. 2023. Inquérito Demográfico e de Saúde em Moçambique 2022–23.
Maputo, Moçambique e Rockville, Maryland, EUA: INE e ICF.",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GHA,Ghana,Year,2022-2023,true,,,,,,,,,,,,,87.60,,,,,,87.6,,"Ghana Statistical Service (GSS) and ICF. 2023. Ghana Demographic and Health Survey 2022: Key Indicators Report. Accra, Ghana, and Rockville, Maryland, USA: GSS and ICF.",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2022-2023,true,,,,,,,,,,,,,99.00,,,,,,99,,Health Indicators in the Islamic Republic of Iran 2023,EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ALB,Albania,Year,2022,true,,,,,,,,,,,,,100.00,,,,,,100,,"Unclear definition of the cadres included. Institute of Statistics, Men and Women 2023",EN,2024-04-26 00:00:00
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,LTU,Lithuania,Year,2022,true,,,,,,,,,,,,,100.00,,,,,,100,,Unclear definition of the cadres included. Official Statistics Portal Lithuania; 2023 (https://lithuaniasdg-en-ls-osp-sdg.hub.arcgis.com/pages/goal-3 accessed 22 September 2023).,EN,2024-04-26 00:00:00
